location_id,date,temp,pressure,humidity,wind_speed,precipitation,cloud_cover,uv
Adilabad,2023-08-25,24.599999999999998,1004.6428571428571,83.85714285714286,10.135714285714286,6.3,62.0,7
Adilabad,2023-08-26,23.10666666666667,1006.2,86.0,6.5,4.25,40.1,1
Agar,2023-08-25,24.021428571428572,1005.2142857142857,81.42857142857143,15.171428571428573,7.3,46.214285714285715,7
Agar,2023-08-26,22.56,1006.4666666666667,82.53333333333333,12.366666666666667,7.34,39.86666666666667,1
Agra,2023-08-25,28.25714285714286,1003.0714285714286,64.85714285714286,11.935714285714285,1.0,33.92857142857143,8
Agra,2023-08-26,27.433333333333334,1004.4333333333333,59.9,7.96,0.07,19.5,1
Ahmadnagar,2023-08-25,23.32,1007.2,79.86666666666666,14.733333333333333,5.4,62.13333333333333,7
Ahmadnagar,2023-08-26,22.56551724137931,1008.3103448275862,83.58620689655173,12.206896551724139,2.31,40.44827586206897,1
Aizawl,2023-08-25,21.166666666666668,1006.0,94.86666666666666,3.646666666666667,21.2,81.66666666666667,7
Aizawl,2023-08-26,21.406896551724138,1008.2758620689655,98.65517241379311,3.6551724137931036,3.86,97.17241379310344,1
Ajmer,2023-08-25,25.692857142857143,1004.9285714285714,68.5,13.828571428571427,0.4,13.071428571428571,7
Ajmer,2023-08-26,25.226666666666667,1005.7,62.1,11.256666666666666,1.33,24.866666666666667,1
Akola,2023-08-25,25.685714285714287,1004.7857142857143,76.21428571428571,17.45714285714286,1.2,55.857142857142854,7
Akola,2023-08-26,23.95,1006.3666666666667,82.46666666666667,12.446666666666665,3.91,36.03333333333333,1
Alappuzha,2023-08-25,25.7,1009.4666666666667,85.06666666666666,11.113333333333333,45.6,71.06666666666666,7
Alappuzha,2023-08-26,25.717241379310344,1009.6551724137931,84.10344827586206,8.493103448275862,8.459999999999999,63.724137931034484,1
Aligarh,2023-08-25,27.485714285714288,1003.2857142857143,67.92857142857143,10.042857142857143,1.5,30.5,8
Aligarh,2023-08-26,26.44,1004.5,64.13333333333334,6.86,1.25,24.266666666666666,1
Alirajpur,2023-08-25,24.546666666666667,1005.6,81.73333333333333,15.986666666666668,3.6,43.666666666666664,7
Alirajpur,2023-08-26,23.7448275862069,1006.6206896551724,81.65517241379311,10.46896551724138,6.54,38.6551724137931,1
Allahabad,2023-08-25,27.714285714285715,1002.5,74.5,9.914285714285713,7.5,45.357142857142854,7
Allahabad,2023-08-26,26.25,1004.1333333333333,78.93333333333334,7.59,0.87,43.6,1
Almora,2023-08-25,20.68,1006.6666666666666,80.73333333333333,5.4399999999999995,4.2,35.53333333333333,7
Almora,2023-08-26,18.73448275862069,1008.5172413793103,84.75862068965517,5.468965517241379,1.99,34.6551724137931,1
Alwar,2023-08-25,27.47142857142857,1004.0714285714286,64.0,8.464285714285714,1.4,28.428571428571427,8
Alwar,2023-08-26,26.55666666666667,1004.9666666666667,56.766666666666666,6.739999999999999,0.01,17.3,1
Ambala,2023-08-25,25.466666666666665,1003.6666666666666,75.13333333333334,5.2733333333333325,0.0,11.533333333333333,8
Ambala,2023-08-26,23.951724137931034,1005.0689655172414,68.3103448275862,7.5,8.77,22.551724137931036,1
Amethi,2023-08-25,26.75,1003.0,78.21428571428571,7.692857142857142,4.5,46.714285714285715,8
Amethi,2023-08-26,25.323333333333334,1004.7333333333333,81.16666666666667,7.21,6.68,30.2,1
Amravati,2023-08-25,25.442857142857143,1004.6428571428571,76.57142857142857,12.1,1.1,57.642857142857146,7
Amravati,2023-08-26,23.373333333333335,1006.1333333333333,83.86666666666666,9.270000000000001,7.180000000000001,35.46666666666667,1
Amreli,2023-08-25,25.2,1006.4666666666667,78.8,15.253333333333332,0.1,27.6,8
Amreli,2023-08-26,24.886206896551727,1006.8275862068965,80.55172413793103,13.282758620689656,0.25,26.06896551724138,1
Amritsar,2023-08-25,28.0,1004.2666666666667,84.86666666666666,8.18,0.2,18.333333333333332,7
Amritsar,2023-08-26,24.896551724137932,1006.5862068965517,90.65517241379311,5.689655172413793,6.3,22.413793103448278,1
Anand,2023-08-25,27.006666666666668,1005.2,70.06666666666666,12.973333333333333,0.5,28.333333333333332,8
Anand,2023-08-26,26.07586206896552,1005.9655172413793,78.93103448275862,10.644827586206896,9.64,35.827586206896555,1
Anantapur,2023-08-25,25.64,1007.0,71.26666666666667,22.166666666666668,14.4,49.4,8
Anantapur,2023-08-26,25.16896551724138,1007.7586206896551,70.58620689655173,19.155172413793103,3.62,36.55172413793103,1
Anantnag,2023-08-25,15.014285714285714,1011.2857142857143,67.14285714285714,3.6999999999999997,0.1,19.857142857142858,5
Anantnag,2023-08-26,13.46206896551724,1013.448275862069,61.275862068965516,3.8034482758620687,0.35,23.896551724137932,1
Anugul,2023-08-25,25.7,1003.6428571428571,87.0,4.971428571428571,3.6,69.57142857142857,8
Anugul,2023-08-26,23.75,1004.6333333333333,91.63333333333334,4.54,2.5,56.3,1
Anuppur,2023-08-25,23.753333333333334,1004.0,83.93333333333334,6.42,3.9000000000000004,47.6,7
Anuppur,2023-08-26,21.8,1005.9655172413793,85.93103448275862,6.055172413793104,5.61,45.58620689655172,1
Araria,2023-08-25,28.08,1002.9333333333333,79.13333333333334,7.266666666666667,5.2,52.46666666666667,8
Araria,2023-08-26,25.224137931034484,1004.9310344827586,88.41379310344827,12.220689655172412,28.4,56.241379310344826,1
Ariyalur,2023-08-25,27.264285714285712,1007.0,79.21428571428571,13.278571428571428,25.5,58.92857142857143,8
Ariyalur,2023-08-26,26.96333333333333,1008.1,83.6,7.846666666666667,4.57,54.9,1
Arong,2023-08-25,27.62,1008.6,81.6,30.560000000000002,18.7,67.33333333333333,7
